Date : 2022-03-27 09:12:38
Directory : /Users/amayrbabar/Desktop/Sabres Media/Apps/careing
Total : 49 files,  1869 codes, 299 comments, 289 blanks, all 2457 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |          9 |        711 |         65 |         62 |        838 |
| C++        |         11 |        408 |         80 |        132 |        620 |
| JSON       |          8 |        345 |          0 |          7 |        352 |
| XML        |          9 |        123 |         46 |         11 |        180 |
| Groovy     |          3 |         92 |          3 |         22 |        117 |
| HTML       |          1 |         80 |         18 |          7 |        105 |
| Swift      |          2 |         62 |          7 |         15 |         84 |
| YAML       |          2 |         27 |         79 |         22 |        128 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         49 |      1,869 |        299 |        289 |      2,457 |
| android                                                                                                                |         13 |        201 |         48 |         33 |        282 |
| android/app                                                                                                            |          9 |        155 |         47 |         22 |        224 |
| android/app/src                                                                                                        |          7 |         62 |         44 |          9 |        115 |
| android/app/src/debug                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                   |          5 |         54 |         38 |          7 |         99 |
| android/app/src/main/res                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                    |         12 |        398 |          9 |         26 |        433 |
| ios/Runner                                                                                                             |          7 |        222 |          2 |          9 |        233 |
