Date : 2022-03-27 09:12:38
Directory : /Users/amayrbabar/Desktop/Sabres Media/Apps/careing
Total : 49 files,  1869 codes, 299 comments, 289 blanks, all 2457 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios/Runner/Assets.xcassets                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                        |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                  |          2 |         61 |          2 |          2 |         65 |
| ios/widget                                                                                                             |          5 |        176 |          7 |         17 |        200 |
| ios/widget/Assets.xcassets                                                                                             |          4 |        126 |          0 |          4 |        130 |
| ios/widget/Assets.xcassets/AccentColor.colorset                                                                        |          1 |         11 |          0 |          1 |         12 |
| ios/widget/Assets.xcassets/AppIcon.appiconset                                                                          |          1 |         98 |          0 |          1 |         99 |
| ios/widget/Assets.xcassets/WidgetBackground.colorset                                                                   |          1 |         11 |          0 |          1 |         12 |
| lib                                                                                                                    |          8 |        697 |         55 |         55 |        807 |
| lib/Componenets                                                                                                        |          1 |         54 |          0 |          4 |         58 |
| lib/Screens                                                                                                            |          4 |        536 |         15 |         37 |        588 |
| lib/Screens/Authentication                                                                                             |          2 |        390 |         10 |         26 |        426 |
| lib/Services                                                                                                           |          1 |         69 |         30 |          9 |        108 |
| test                                                                                                                   |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                    |          2 |        115 |         18 |          8 |        141 |
| windows                                                                                                                |         10 |        407 |         80 |        131 |        618 |
| windows/flutter                                                                                                        |          2 |         11 |          9 |         11 |         31 |
| windows/runner                                                                                                         |          8 |        396 |         71 |        120 |        587 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/README.md                                                          | Markdown   |         10 |          0 |          7 |         17 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/analysis_options.yaml                                              | YAML       |          3 |         23 |          4 |         30 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/build.gradle                                           | Groovy     |         54 |          3 |         13 |         70 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/google-services.json                                   | JSON       |         39 |          0 |          0 |         39 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/debug/AndroidManifest.xml                          | XML        |          4 |          3 |          1 |          8 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/AndroidManifest.xml                           | XML        |         28 |          6 |          1 |         35 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/drawable-v21/launch_background.xml        | XML        |          4 |          7 |          2 |         13 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/drawable/launch_background.xml            | XML        |          4 |          7 |          2 |         13 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/values-night/styles.xml                   | XML        |          9 |          9 |          1 |         19 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/main/res/values/styles.xml                         | XML        |          9 |          9 |          1 |         19 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/app/src/profile/AndroidManifest.xml                        | XML        |          4 |          3 |          1 |          8 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/build.gradle                                               | Groovy     |         30 |          0 |          5 |         35 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/gradle.properties                                          | Properties |          3 |          0 |          1 |          4 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/gradle/wrapper/gradle-wrapper.properties                   | Properties |          5 |          1 |          1 |          7 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/android/settings.gradle                                            | Groovy     |          8 |          0 |          4 |         12 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/AppDelegate.swift                                       | Swift      |         12 |          0 |          2 |         14 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json        | JSON       |        122 |          0 |          1 |        123 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json      | JSON       |         23 |          0 |          1 |         24 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md          | Markdown   |          3 |          0 |          2 |          5 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Base.lproj/LaunchScreen.storyboard                      | XML        |         36 |          1 |          1 |         38 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Base.lproj/Main.storyboard                              | XML        |         25 |          1 |          1 |         27 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/Runner/Runner-Bridging-Header.h                                | C++        |          1 |          0 |          1 |          2 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/widget/Assets.xcassets/AccentColor.colorset/Contents.json      | JSON       |         11 |          0 |          1 |         12 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/widget/Assets.xcassets/AppIcon.appiconset/Contents.json        | JSON       |         98 |          0 |          1 |         99 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/widget/Assets.xcassets/Contents.json                           | JSON       |          6 |          0 |          1 |          7 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/widget/Assets.xcassets/WidgetBackground.colorset/Contents.json | JSON       |         11 |          0 |          1 |         12 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/ios/widget/widget.swift                                            | Swift      |         50 |          7 |         13 |         70 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Componenets/background.dart                                    | Dart       |         54 |          0 |          4 |         58 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/Authentication/login.dart                              | Dart       |        141 |          0 |          7 |        148 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/Authentication/register.dart                           | Dart       |        249 |         10 |         19 |        278 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/dashboard.dart                                         | Dart       |          9 |          0 |          2 |         11 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Screens/onboading.dart                                         | Dart       |        137 |          5 |          9 |        151 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/Services/dynamic_link_service.dart                             | Dart       |         69 |         30 |          9 |        108 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/main.dart                                                      | Dart       |         22 |         10 |          3 |         35 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/lib/presence.dart                                                  | Dart       |         16 |          0 |          2 |         18 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/pubspec.yaml                                                       | YAML       |         24 |         56 |         18 |         98 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/test/widget_test.dart                                              | Dart       |         14 |         10 |          7 |         31 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/web/index.html                                                     | HTML       |         80 |         18 |          7 |        105 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/web/manifest.json                                                  | JSON       |         35 |          0 |          1 |         36 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/flutter/generated_plugin_registrant.cc                     | C++        |          6 |          4 |          5 |         15 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/flutter/generated_plugin_registrant.h                      | C++        |          5 |          5 |          6 |         16 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/flutter_window.cpp                                  | C++        |         45 |          4 |         13 |         62 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/flutter_window.h                                    | C++        |         20 |          5 |          9 |         34 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/main.cpp                                            | C++        |         30 |          4 |         10 |         44 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/resource.h                                          | C++        |          9 |          6 |          2 |         17 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/utils.cpp                                           | C++        |         53 |          2 |         10 |         65 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/utils.h                                             | C++        |          8 |          6 |          6 |         20 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/win32_window.cpp                                    | C++        |        183 |         15 |         48 |        246 |
| /Users/amayrbabar/Desktop/Sabres Media/Apps/careing/windows/runner/win32_window.h                                      | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                  |            |      1,869 |        299 |        289 |      2,457 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
